Id	Pere	Mere	Sexe	Bande	PdsFinal	RTN	Lard	
7637	9170038	9070877	1	9206	122.00	81.40	26.33
7638	9170038	9070877	1	9206	112.00	91.80	27.33
7639	9170038	9070877	1	9206	110.00	91.70	29.00
7640	9170038	9070877	1	9206	121.00	79.20	20.00
7641	9170038	9070877	1	9206	103.00	79.70	26.33
7642	9170038	9070877	1	9206	117.00	86.10	23.33
7645	9170038	9070877	2	9206	110.00	81.60	18.33
7646	9170038	9070877	2	9206	90.00	89.40	14.00
7647	9170038	9070877	2	9206	100.00	89.60	19.00
7648	9170038	9070877	2	9206	104.00	82.50	19.67
7578	9170038	9070878	1	9206	109.00	78.70	26.33
7579	9170038	9070878	1	9206	114.00	85.40	30.67
7582	9170038	9070878	1	9206	109.00	86.10	22.00
7583	9170038	9070878	1	9206	114.00	81.70	25.00
7584	9170038	9070878	2	9206	101.00	96.90	19.00
7585	9170038	9070878	2	9206	112.00	99.80	19.00
7586	9170038	9070878	2	9206	111.00	80.60	26.33
7587	9170038	9070878	2	9206	123.00	81.30	24.00
8564	9170039	9170102	1	9210	103.00	87.60	26.67
8565	9170039	9170102	1	9210	101.00	84.40	28.67
8566	9170039	9170102	1	9210	103.00	89.10	27.67
8567	9170039	9170102	1	9210	119.00	90.10	25.67
8569	9170039	9170102	2	9210	110.00	85.90	23.67
8551	9170039	9170103	1	9210	99.00	93.10	26.00
8552	9170039	9170103	1	9210	110.00	94.30	28.33
8553	9170039	9170103	1	9210	109.00	89.80	25.33
8554	9170039	9170103	1	9210	101.00	81.80	27.00
8555	9170039	9170103	1	9210	105.00	86.00	30.67
8556	9170039	9170103	2	9210	105.00	89.70	27.00
8557	9170039	9170103	2	9210	94.00	85.40	25.33
8558	9170039	9170103	2	9210	97.00	82.10	25.00
8559	9170039	9170103	2	9210	105.00	90.90	27.00
8560	9170039	9170103	2	9210	104.00	90.90	21.67
8561	9170039	9170103	2	9210	99.00	81.00	24.67
8562	9170039	9170103	2	9210	98.00	87.20	25.00
8563	9170039	9170103	2	9210	105.00	81.20	27.00
7867	9170040	9170024	1	9207	98.00	94.40	27.33
7868	9170040	9170024	1	9207	111.00	99.20	27.00
7869	9170040	9170024	2	9207	101.00	99.10	24.00
7870	9170040	9170024	2	9207	108.00	100.50	29.33
8126	9170040	9170026	1	9208	111.00	85.30	26.67
8127	9170040	9170026	1	9208	105.00	84.70	30.67
8128	9170040	9170026	1	9208	107.00	92.40	26.67
