Obs	regime	animal	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	
1	faible	1	155	178	194	217	224	230	251	268	279	293
2	faible	2	158	181	213	254	254	271	280	273	312	318
3	faible	3	158	185	212	229	250	263	299	299	290	305
4	faible	4	163	187	214	233	252	259	275	282	395	368
5	faible	5	159	184	188	229	244	255	270	276	279	285
6 	fort	1 	167 	204 	225 	258 	248 	282 	284 	304 	306 	333
7	fort	2	165	193	197	231	229	242	267	268	279	265
8	fort	3	163	186	212	244	255	264	270	293	290	308
9	fort	4	175	200	223	247	253	274	283	288	300	290
10	fort	5	144	177	218	252	269	278	305	308	324	326
11	moyen	1	196	183	208	231	237	261	252	281	282	285	
12	moyen	2	159	200	230	265	281	314	330	339	333	353
13	moyen	3	158	185	224	239	254	275	283	292	298	303
14	moyen	4	154	216	234	268	300	338	339	367	373	368
15	moyen	5	142	173	186	214	226	241	256	255	260	272
16	temoin	1	152	178	198	200	214	237	240	246	254	255
17	temoin	2	135	152	165	173	184	200	209	208	224	235	
18	temoin	3	142	162	184	200	220	230	239	244	259	262
19	temoin	4	159	183	214	233	251	269	280	283	292	295
20	temoin	5	159	180	196	210	216	230	237	247	255	258
















